"","Authors","Journal","Annotation"
"6","J Pan, K Chen","APSR",3
"8","H Mueller, C Rauh","APSR",2
"10","J Bisbee","APSR",2
"14","T Mitts","APSR",3
"15","A Katagiri, E Min","APSR",2
"16","F Cantú","APSR",1
"18","P Barberá, A Casas, J Nagler, PJ Egan…","APSR",3
"19","J Yoder","APSR",2
"20","K Peyton","APSR",2
"23","B Park, K Greene, M Colaresi","APSR",3
"24","B Magaloni, L Rodriguez","APSR",3
"27","LJ Anastasopoulos, AM Bertelli","APSR",1
"30","T Bøggild, L Aarøe, MB Petersen","APSR",3
"31","M Wahman, N Frantzeskakis…","APSR",1
"32","R Zubek, A Dasgupta, D Doyle","APSR",3
"34","M OSNABRÜGGE, SB HOBOLT…","APSR",0
"35","AM Jacobs, JS Matthews, T Hicks…","APSR",3
"36","K Bansak, MM Bechtel, Y Margalit","APSR",3
"37","D Muchlinski, D Siroky, J He, M Kocher","PA",0
"39","C Samii, L Paler, SZ Daly","PA",2
"44","J Grimmer, S Messing, SJ Westwood","PA",2
"45","D Greene, JP Cross","PA",0
"46","M Ratkovic, D Tingley","PA",3
"49","SJ Cranmer, BA Desmarais","PA",3
"50","A Peterson, A Spirling","PA",2
"53","M Temporão, CV Kerckhove, C van der Linden…","PA",2
"54","E De Vries, M Schoonvelde, G Schumacher","PA",3
"55","MJ Denny, A Spirling","PA",3
"56","B Miller, F Linder, WR Mebane Jr","PA",3
"58","K Bansak","PA",3
"59","Y Wang","PA",3
"61","M Neunhoeffer, S Sternberg","PA",3
"63","AR Kaufman, P Kraft, M Sen","PA",3
"67","KT Greene, B Park, M Colaresi","PA",3
"68","ND Goet","PA",3
"76","E Rodman","PA",2
"77","B Miller, F Linder, WR Mebane","PA",3
"80","R Mozer, L Miratrix, AR Kaufman…","PA",3
"82","R Duch, D Laroze, T Robinson, P Beramendi","PA",1
"83","L Bustikova, DS Siroky, S Alashri, S Alzahrani","PA",2
"85","JT Ornstein","PA",3
"86","R Lall, T Robinson","PA",2
"88","C Chang, M Masterson","PA",2
"90","L Rheault, C Cochrane","PA",3
"95","P Barberá, AE Boydstun, S Linn, R McMahon…","PA",3
"96","A Acharya, K Bansak, J Hainmueller","PA",3
"97","J Di Cocco, B Monechi","PA",3
"98","MJ Cohen, Z Warner","PA",3
"99","M Torres, F Cantú","PA",3
"100","C Fong, M Tyler","PA",1
"103","A Erlich, SG Dantas, BE Bagozzi, D Berliner…","PA",2
"104","M Blackwell, MP Olson","PA",2
"106","JC Timoneda, E Wibbels","PA",2
"108","M Sebők, Z Kacsuk","PA",1
"115","BE Bagozzi, D Berliner","PSRM",3
"117","K Munger, R Bonneau, J Nagler…","PSRM",3
"118","J Pan","PSRM",0
"119","SJ Lee, H Liu, MD Ward","PSRM",0
"120","AJ Ramey, JD Klingler, GE Hollibaugh","PSRM",0
"121","K Kikuta","PSRM",3
"127","J Beiser-McGrath, LF Beiser-McGrath","PSRM",1
"128","J de Benedictis-Kessner","PSRM",0
"131","BJ Radford","PSRM",2
"134","KD Funk, HL Paul, AQ Philips","PSRM",0
"137","D Muchlinski, X Yang, S Birch…","PSRM",2
